time,Hub Name,Satnet,FWD Total bitrate,FWD Drop bitrate,RTN Total bitrate,RTN Drop bitrate
2020-05-28T00:02:54.753121,KAC_BHI-2,1,30702622,817151,4147387,0
2020-05-28T00:03:15.642489,KAC_BHI-2,2,103874338,0,8736168,0
2020-05-28T00:03:31.849136,KAC_BHI-2,3,0,572531,0,0
2020-05-28T00:03:48.645370,KAC_BHI-2,4,573378,0,0,0
2020-05-28T00:04:02.944354,KAC_BHI-2,5,581836,0,0,0
2020-05-28T00:04:20.367180,KAC_BHI-2,6,20231393,39,1321332,0
2020-05-28T00:04:35.372179,KAC_BHI-2,8,572530,0,0,0
2020-05-28T00:04:53.263600,KAC_BHI-2,9,573829,0,0,0
2020-05-28T00:05:07.780696,KAC_BHI-2,10,708886,0,8212,0
2020-05-28T00:05:25.843083,KAC_BHI-2,11,626400,0,4570,0
2020-05-28T00:05:41.194012,KAC_BHI-2,12,579514,0,0,0
2020-05-28T00:06:05.898070,KAC_BHI-2,13,77282110,0,11967038,0
2020-05-28T00:06:22.718705,KAC_BHI-2,15,59599137,987230,2831781,0
